2026/01/01 19:07:21.038,SELL,BTC/USDT,101,1,101,1766651474
2026/01/01 19:07:21.038,BUY,BTC/USDT,98,1,3,1766651474
2026/01/01 19:07:21.038,SELL,BTC/USDT,102,1,105,1766651474
2026/01/01 19:07:21.038,BUY,BTC/USDT,97,1,8,1766651474
2026/01/01 19:07:21.038,SELL,BTC/USDT,103,1,111,1766651474
2026/01/01 19:07:21.038,BUY,BTC/USDT,96,1,15,1766651474
2026/01/01 19:07:21.038,SELL,BTC/USDT,104,1,119,1766651474
2026/01/01 19:07:21.038,BUY,BTC/USDT,95,1,24,1766651474
2026/01/01 19:07:21.038,SELL,BTC/USDT,105,1,129,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/BTC,99,1,30,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/BTC,101,1,131,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/BTC,98,1,33,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/BTC,102,1,135,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/BTC,97,1,38,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/BTC,103,1,141,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/BTC,96,1,45,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/BTC,104,1,149,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/BTC,95,1,54,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/BTC,105,1,159,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/USDT,99,1,60,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/USDT,101,1,161,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/USDT,98,1,63,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/USDT,102,1,165,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/USDT,97,1,68,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/USDT,103,1,171,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/USDT,96,1,75,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/USDT,104,1,179,1766651474
2026/01/01 19:07:21.038,BUY,DOGE/USDT,95,1,84,1766651474
2026/01/01 19:07:21.038,SELL,DOGE/USDT,105,1,189,1766651474
2026/01/01 19:07:21.038,BUY,ETH/BTC,99,1,90,1766651474
2026/01/01 19:07:21.038,SELL,ETH/BTC,101,1,191,1766651474
2026/01/01 19:07:21.038,BUY,ETH/BTC,98,1,93,1766651474
2026/01/01 19:07:21.038,SELL,ETH/BTC,102,1,195,1766651474
2026/01/01 19:07:21.038,BUY,ETH/BTC,97,1,98,1766651474
2026/01/01 19:07:21.038,SELL,ETH/BTC,103,1,201,1766651474
2026/01/01 19:07:21.038,BUY,ETH/BTC,96,1,105,1766651474
2026/01/01 19:07:21.038,SELL,ETH/BTC,104,1,209,1766651474
2026/01/01 19:07:21.038,BUY,ETH/BTC,95,1,114,1766651474
2026/01/01 19:07:21.038,SELL,ETH/BTC,105,1,219,1766651474
2026/01/01 19:07:21.038,BUY,ETH/USDT,99,1,120,1766651474
2026/01/01 19:07:21.038,SELL,ETH/USDT,101,1,221,1766651474
2026/01/01 19:07:21.038,BUY,ETH/USDT,98,1,123,1766651474
2026/01/01 19:07:21.038,SELL,ETH/USDT,102,1,225,1766651474
2026/01/01 19:07:21.038,BUY,ETH/USDT,97,1,128,1766651474
2026/01/01 19:07:21.038,SELL,ETH/USDT,103,1,231,1766651474
2026/01/01 19:07:21.038,BUY,ETH/USDT,96,1,135,1766651474
